0,1,2,3,audioFiles/A Natural Minor Scale/E-A.mp3
1,2,3,0,audioFiles/A Natural Minor Scale/E-B.mp3
2,3,4,0,audioFiles/A Natural Minor Scale/E-C.mp3
3,2,6,7,audioFiles/A Natural Minor Scale/A-D.mp3
4,5,6,7,audioFiles/A Natural Minor Scale/A-E.mp3
5,6,7,4,audioFiles/A Natural Minor Scale/A-F.mp3
6,7,8,5,audioFiles/A Natural Minor Scale/D-G.mp3
7,8,9,6,audioFiles/A Natural Minor Scale/D-A.mp3
8,9,10,7,audioFiles/A Natural Minor Scale/G-B.mp3
9,11,10,9,audioFiles/A Natural Minor Scale/G-C.mp3
10,11,12,9,audioFiles/A Natural Minor Scale/G-D.mp3
11,12,13,10,audioFiles/A Natural Minor Scale/B-E.mp3
12,14,13,14,audioFiles/A Natural Minor Scale/B-F.mp3
13,14,10,12,audioFiles/A Natural Minor Scale/B-G.mp3
14,15,16,13,audioFiles/A Natural Minor Scale/highE-A.mp3
15,16,14,12,audioFiles/A Natural Minor Scale/highE-B.mp3
16,14,11,0,audioFiles/A Natural Minor Scale/highE-C.mp3
